significance_rank,target_node,parent_edges,parent_edge_count,bootstrap_count,posterior,retained,accepted,accepted_order
1,odi3_desaturation_fraction,ahe_proxy_fraction->odi3_desaturation_fraction@lag1;odi3_desaturation_fraction->odi3_desaturation_fraction@lag1,2,74,0.74,True,True,1
2,flow_limited_effort_fraction,flow_limited_effort_fraction->flow_limited_effort_fraction@lag1,1,65,0.65,True,True,2
3,snoring_bout_fraction,snoring_bout_fraction->snoring_bout_fraction@lag1,1,64,0.64,True,True,3
4,ahe_proxy_fraction,ahe_proxy_fraction->ahe_proxy_fraction@lag1,1,43,0.43,True,True,4
5,pulse_activation_fraction,ahe_proxy_fraction->pulse_activation_fraction@lag1;pulse_activation_fraction->pulse_activation_fraction@lag1,2,39,0.39,True,True,5
6,flow_limited_effort_fraction,EMPTY,0,35,0.35,True,True,6
7,ahe_proxy_fraction,ahe_proxy_fraction->ahe_proxy_fraction@lag1;snoring_bout_fraction->ahe_proxy_fraction@lag0,2,24,0.24,True,True,7
8,pulse_activation_fraction,pulse_activation_fraction->pulse_activation_fraction@lag1,1,22,0.22,True,True,8
9,odi3_desaturation_fraction,odi3_desaturation_fraction->odi3_desaturation_fraction@lag1,1,21,0.21,True,True,9
10,ahe_proxy_fraction,ahe_proxy_fraction->ahe_proxy_fraction@lag1;ifl_proxy_breath_fraction->ahe_proxy_fraction@lag0,2,19,0.19,True,True,10
11,pulse_activation_fraction,ahe_proxy_fraction->pulse_activation_fraction@lag1;ifl_proxy_breath_fraction->pulse_activation_fraction@lag1;pulse_activation_fraction->pulse_activation_fraction@lag1,3,16,0.16,True,True,11
12,ifl_proxy_breath_fraction,ifl_proxy_breath_fraction->ifl_proxy_breath_fraction@lag1,1,15,0.15,True,True,12
13,snoring_bout_fraction,ahe_proxy_fraction->snoring_bout_fraction@lag0;snoring_bout_fraction->snoring_bout_fraction@lag1,2,14,0.14,True,False,
14,ifl_proxy_breath_fraction,ifl_proxy_breath_fraction->ifl_proxy_breath_fraction@lag1;snoring_bout_fraction->ifl_proxy_breath_fraction@lag1,2,12,0.12,True,True,14
15,snoring_bout_fraction,ifl_proxy_breath_fraction->snoring_bout_fraction@lag1;snoring_bout_fraction->snoring_bout_fraction@lag1,2,10,0.1,True,True,15
16,pulse_activation_fraction,ahe_proxy_fraction->pulse_activation_fraction@lag1;odi3_desaturation_fraction->pulse_activation_fraction@lag1;pulse_activation_fraction->pulse_activation_fraction@lag1,3,9,0.09,False,False,
17,ifl_proxy_breath_fraction,ifl_proxy_breath_fraction->ifl_proxy_breath_fraction@lag1;snoring_bout_fraction->ifl_proxy_breath_fraction@lag0,2,8,0.08,False,False,
18,snoring_bout_fraction,ahe_proxy_fraction->snoring_bout_fraction@lag0;ifl_proxy_breath_fraction->snoring_bout_fraction@lag1;snoring_bout_fraction->snoring_bout_fraction@lag1,3,8,0.08,False,False,
19,ifl_proxy_breath_fraction,ahe_proxy_fraction->ifl_proxy_breath_fraction@lag0;ifl_proxy_breath_fraction->ifl_proxy_breath_fraction@lag1;snoring_bout_fraction->ifl_proxy_breath_fraction@lag0,3,7,0.07,False,False,
20,ifl_proxy_breath_fraction,ahe_proxy_fraction->ifl_proxy_breath_fraction@lag1;ifl_proxy_breath_fraction->ifl_proxy_breath_fraction@lag1,2,7,0.07,False,False,
21,ifl_proxy_breath_fraction,ifl_proxy_breath_fraction->ifl_proxy_breath_fraction@lag1;snoring_bout_fraction->ifl_proxy_breath_fraction@lag0;snoring_bout_fraction->ifl_proxy_breath_fraction@lag1,3,6,0.06,False,False,
22,pulse_activation_fraction,ahe_proxy_fraction->pulse_activation_fraction@lag1;ifl_proxy_breath_fraction->pulse_activation_fraction@lag1;odi3_desaturation_fraction->pulse_activation_fraction@lag1;pulse_activation_fraction->pulse_activation_fraction@lag1,4,6,0.06,False,False,
23,pulse_activation_fraction,ifl_proxy_breath_fraction->pulse_activation_fraction@lag1;pulse_activation_fraction->pulse_activation_fraction@lag1,2,6,0.06,False,False,
24,ahe_proxy_fraction,ahe_proxy_fraction->ahe_proxy_fraction@lag1;odi3_desaturation_fraction->ahe_proxy_fraction@lag1,2,5,0.05,False,False,
25,ifl_proxy_breath_fraction,ahe_proxy_fraction->ifl_proxy_breath_fraction@lag1;ifl_proxy_breath_fraction->ifl_proxy_breath_fraction@lag1;snoring_bout_fraction->ifl_proxy_breath_fraction@lag1,3,5,0.05,False,False,
