source_node,target_node,lag,graph_entry,p_value,test_statistic,mci_value,abs_mci_value,selected_adjacency,selected,is_contemporaneous,method,posterior,bootstrap_count,mci_bootstrap_count
ifl_proxy_breath_fraction,ahe_proxy_fraction,0,-->,,-0.0806734441103083,-0.0806734441103083,0.0806734441103083,True,True,True,bootstrap_gma_threshold_sweep,0.19,19,34
snoring_bout_fraction,ahe_proxy_fraction,0,-->,,-0.08882417714247623,-0.08882417714247623,0.08882417714247623,True,True,True,bootstrap_gma_threshold_sweep,0.19,19,33
ahe_proxy_fraction,ahe_proxy_fraction,1,-->,,0.5926363061688236,0.5926363061688236,0.5926363061688236,True,True,False,bootstrap_gma_threshold_sweep,0.46,46,100
flow_limited_effort_fraction,flow_limited_effort_fraction,1,-->,,0.2765497214058929,0.2765497214058929,0.2765497214058929,True,True,False,bootstrap_gma_threshold_sweep,0.97,97,97
ifl_proxy_breath_fraction,ifl_proxy_breath_fraction,1,-->,,0.4099397114418176,0.4099397114418176,0.4099397114418176,True,True,False,bootstrap_gma_threshold_sweep,0.82,82,100
ahe_proxy_fraction,odi3_desaturation_fraction,1,-->,,-0.07419456043371805,-0.07419456043371805,0.07419456043371805,True,True,False,bootstrap_gma_threshold_sweep,1.0,100,100
odi3_desaturation_fraction,odi3_desaturation_fraction,1,-->,,0.5862160755879244,0.5862160755879244,0.5862160755879244,True,True,False,bootstrap_gma_threshold_sweep,1.0,100,100
ahe_proxy_fraction,pulse_activation_fraction,1,-->,,-0.035374524636009125,-0.035374524636009125,0.035374524636009125,True,True,False,bootstrap_gma_threshold_sweep,0.22,22,29
pulse_activation_fraction,pulse_activation_fraction,1,-->,,0.3284469917299133,0.3284469917299133,0.3284469917299133,True,True,False,bootstrap_gma_threshold_sweep,0.62,62,100
snoring_bout_fraction,snoring_bout_fraction,1,-->,,0.4733471700863744,0.4733471700863744,0.4733471700863744,True,True,False,bootstrap_gma_threshold_sweep,0.79,79,100
