significance_rank,target_node,parent_edges,parent_edge_count,bootstrap_count,posterior,retained,accepted,accepted_order
1,odi3_desaturation_fraction,ahe_proxy_fraction->odi3_desaturation_fraction@lag1;odi3_desaturation_fraction->odi3_desaturation_fraction@lag1,2,100,1.0,True,True,1
2,ifl_proxy_breath_fraction,ifl_proxy_breath_fraction->ifl_proxy_breath_fraction@lag1,1,93,0.93,True,True,2
3,flow_limited_effort_fraction,flow_limited_effort_fraction->flow_limited_effort_fraction@lag1,1,87,0.87,True,True,3
4,pulse_activation_fraction,pulse_activation_fraction->pulse_activation_fraction@lag1,1,71,0.71,True,True,4
5,snoring_bout_fraction,snoring_bout_fraction->snoring_bout_fraction@lag1,1,56,0.56,True,True,5
6,snoring_bout_fraction,ahe_proxy_fraction->snoring_bout_fraction@lag0;snoring_bout_fraction->snoring_bout_fraction@lag1,2,35,0.35,True,True,6
7,ahe_proxy_fraction,ahe_proxy_fraction->ahe_proxy_fraction@lag1;odi3_desaturation_fraction->ahe_proxy_fraction@lag1,2,25,0.25,True,True,7
8,pulse_activation_fraction,odi3_desaturation_fraction->pulse_activation_fraction@lag1;pulse_activation_fraction->pulse_activation_fraction@lag1,2,25,0.25,True,True,8
9,ahe_proxy_fraction,ahe_proxy_fraction->ahe_proxy_fraction@lag1,1,23,0.23,True,True,9
10,ahe_proxy_fraction,ahe_proxy_fraction->ahe_proxy_fraction@lag1;ifl_proxy_breath_fraction->ahe_proxy_fraction@lag0,2,22,0.22,True,True,10
11,flow_limited_effort_fraction,EMPTY,0,13,0.13,True,True,11
12,ahe_proxy_fraction,ahe_proxy_fraction->ahe_proxy_fraction@lag1;ifl_proxy_breath_fraction->ahe_proxy_fraction@lag0;odi3_desaturation_fraction->ahe_proxy_fraction@lag1,3,11,0.11,True,True,12
13,ahe_proxy_fraction,ahe_proxy_fraction->ahe_proxy_fraction@lag1;ifl_proxy_breath_fraction->ahe_proxy_fraction@lag0;snoring_bout_fraction->ahe_proxy_fraction@lag0,3,11,0.11,True,False,
14,ahe_proxy_fraction,ahe_proxy_fraction->ahe_proxy_fraction@lag1;snoring_bout_fraction->ahe_proxy_fraction@lag0,2,5,0.05,False,False,
15,snoring_bout_fraction,ifl_proxy_breath_fraction->snoring_bout_fraction@lag0;snoring_bout_fraction->snoring_bout_fraction@lag1,2,4,0.04,False,False,
16,snoring_bout_fraction,ifl_proxy_breath_fraction->snoring_bout_fraction@lag1;snoring_bout_fraction->snoring_bout_fraction@lag1,2,3,0.03,False,False,
17,ahe_proxy_fraction,ahe_proxy_fraction->ahe_proxy_fraction@lag1;ifl_proxy_breath_fraction->ahe_proxy_fraction@lag0;odi3_desaturation_fraction->ahe_proxy_fraction@lag1;snoring_bout_fraction->ahe_proxy_fraction@lag0,4,2,0.02,False,False,
18,ifl_proxy_breath_fraction,ahe_proxy_fraction->ifl_proxy_breath_fraction@lag0;ifl_proxy_breath_fraction->ifl_proxy_breath_fraction@lag1,2,2,0.02,False,False,
19,ifl_proxy_breath_fraction,ahe_proxy_fraction->ifl_proxy_breath_fraction@lag0;ifl_proxy_breath_fraction->ifl_proxy_breath_fraction@lag1;snoring_bout_fraction->ifl_proxy_breath_fraction@lag0,3,2,0.02,False,False,
20,ifl_proxy_breath_fraction,ifl_proxy_breath_fraction->ifl_proxy_breath_fraction@lag1;odi3_desaturation_fraction->ifl_proxy_breath_fraction@lag1,2,2,0.02,False,False,
21,pulse_activation_fraction,ahe_proxy_fraction->pulse_activation_fraction@lag1;odi3_desaturation_fraction->pulse_activation_fraction@lag1;pulse_activation_fraction->pulse_activation_fraction@lag1,3,2,0.02,False,False,
22,pulse_activation_fraction,ahe_proxy_fraction->pulse_activation_fraction@lag1;pulse_activation_fraction->pulse_activation_fraction@lag1,2,2,0.02,False,False,
23,snoring_bout_fraction,ahe_proxy_fraction->snoring_bout_fraction@lag0;ifl_proxy_breath_fraction->snoring_bout_fraction@lag1;snoring_bout_fraction->snoring_bout_fraction@lag1,3,2,0.02,False,False,
24,ahe_proxy_fraction,ahe_proxy_fraction->ahe_proxy_fraction@lag1;odi3_desaturation_fraction->ahe_proxy_fraction@lag1;snoring_bout_fraction->ahe_proxy_fraction@lag0,3,1,0.01,False,False,
25,ifl_proxy_breath_fraction,ifl_proxy_breath_fraction->ifl_proxy_breath_fraction@lag1;pulse_activation_fraction->ifl_proxy_breath_fraction@lag1,2,1,0.01,False,False,
