significance_rank,target_node,parent_edges,parent_edge_count,bootstrap_count,posterior,retained,accepted,accepted_order
1,odi3_desaturation_fraction,ahe_proxy_fraction->odi3_desaturation_fraction@lag1;odi3_desaturation_fraction->odi3_desaturation_fraction@lag1,2,100,1.0,True,True,1
2,flow_limited_effort_fraction,flow_limited_effort_fraction->flow_limited_effort_fraction@lag1,1,97,0.97,True,True,2
3,ifl_proxy_breath_fraction,ifl_proxy_breath_fraction->ifl_proxy_breath_fraction@lag1,1,82,0.82,True,True,3
4,snoring_bout_fraction,snoring_bout_fraction->snoring_bout_fraction@lag1,1,79,0.79,True,True,4
5,pulse_activation_fraction,pulse_activation_fraction->pulse_activation_fraction@lag1,1,62,0.62,True,True,5
6,ahe_proxy_fraction,ahe_proxy_fraction->ahe_proxy_fraction@lag1,1,46,0.46,True,True,6
7,pulse_activation_fraction,ahe_proxy_fraction->pulse_activation_fraction@lag1;pulse_activation_fraction->pulse_activation_fraction@lag1,2,22,0.22,True,True,7
8,ahe_proxy_fraction,ahe_proxy_fraction->ahe_proxy_fraction@lag1;ifl_proxy_breath_fraction->ahe_proxy_fraction@lag0;snoring_bout_fraction->ahe_proxy_fraction@lag0,3,19,0.19,True,True,8
9,snoring_bout_fraction,ahe_proxy_fraction->snoring_bout_fraction@lag0;snoring_bout_fraction->snoring_bout_fraction@lag1,2,17,0.17,True,False,
10,ahe_proxy_fraction,ahe_proxy_fraction->ahe_proxy_fraction@lag1;snoring_bout_fraction->ahe_proxy_fraction@lag0,2,11,0.11,True,True,10
11,ahe_proxy_fraction,ahe_proxy_fraction->ahe_proxy_fraction@lag1;ifl_proxy_breath_fraction->ahe_proxy_fraction@lag0,2,10,0.1,True,True,11
12,ahe_proxy_fraction,ahe_proxy_fraction->ahe_proxy_fraction@lag1;odi3_desaturation_fraction->ahe_proxy_fraction@lag1,2,8,0.08,False,False,
13,ifl_proxy_breath_fraction,ahe_proxy_fraction->ifl_proxy_breath_fraction@lag1;ifl_proxy_breath_fraction->ifl_proxy_breath_fraction@lag1,2,8,0.08,False,False,
14,pulse_activation_fraction,odi3_desaturation_fraction->pulse_activation_fraction@lag1;pulse_activation_fraction->pulse_activation_fraction@lag1,2,8,0.08,False,False,
15,pulse_activation_fraction,ahe_proxy_fraction->pulse_activation_fraction@lag1;odi3_desaturation_fraction->pulse_activation_fraction@lag1;pulse_activation_fraction->pulse_activation_fraction@lag1,3,6,0.06,False,False,
16,ifl_proxy_breath_fraction,ifl_proxy_breath_fraction->ifl_proxy_breath_fraction@lag1;snoring_bout_fraction->ifl_proxy_breath_fraction@lag1,2,4,0.04,False,False,
17,snoring_bout_fraction,ifl_proxy_breath_fraction->snoring_bout_fraction@lag1;snoring_bout_fraction->snoring_bout_fraction@lag1,2,4,0.04,False,False,
18,ahe_proxy_fraction,ahe_proxy_fraction->ahe_proxy_fraction@lag1;ifl_proxy_breath_fraction->ahe_proxy_fraction@lag0;odi3_desaturation_fraction->ahe_proxy_fraction@lag1,3,3,0.03,False,False,
19,flow_limited_effort_fraction,EMPTY,0,3,0.03,False,False,
20,ifl_proxy_breath_fraction,ahe_proxy_fraction->ifl_proxy_breath_fraction@lag0;ifl_proxy_breath_fraction->ifl_proxy_breath_fraction@lag1,2,3,0.03,False,False,
21,ahe_proxy_fraction,ahe_proxy_fraction->ahe_proxy_fraction@lag1;ifl_proxy_breath_fraction->ahe_proxy_fraction@lag0;odi3_desaturation_fraction->ahe_proxy_fraction@lag1;snoring_bout_fraction->ahe_proxy_fraction@lag0,4,2,0.02,False,False,
22,ahe_proxy_fraction,ahe_proxy_fraction->ahe_proxy_fraction@lag1;odi3_desaturation_fraction->ahe_proxy_fraction@lag1;snoring_bout_fraction->ahe_proxy_fraction@lag0,3,1,0.01,False,False,
23,ifl_proxy_breath_fraction,ahe_proxy_fraction->ifl_proxy_breath_fraction@lag1;ifl_proxy_breath_fraction->ifl_proxy_breath_fraction@lag1;snoring_bout_fraction->ifl_proxy_breath_fraction@lag1,3,1,0.01,False,False,
24,ifl_proxy_breath_fraction,ifl_proxy_breath_fraction->ifl_proxy_breath_fraction@lag1;odi3_desaturation_fraction->ifl_proxy_breath_fraction@lag1,2,1,0.01,False,False,
25,ifl_proxy_breath_fraction,ifl_proxy_breath_fraction->ifl_proxy_breath_fraction@lag1;snoring_bout_fraction->ifl_proxy_breath_fraction@lag0,2,1,0.01,False,False,
26,pulse_activation_fraction,ahe_proxy_fraction->pulse_activation_fraction@lag1;ifl_proxy_breath_fraction->pulse_activation_fraction@lag1;odi3_desaturation_fraction->pulse_activation_fraction@lag1;pulse_activation_fraction->pulse_activation_fraction@lag1,4,1,0.01,False,False,
27,pulse_activation_fraction,ifl_proxy_breath_fraction->pulse_activation_fraction@lag1;pulse_activation_fraction->pulse_activation_fraction@lag1,2,1,0.01,False,False,
