significance_rank,target_node,parent_edges,parent_edge_count,bootstrap_count,posterior,retained,accepted,accepted_order
1,flow_limited_effort_fraction,EMPTY,0,100,1.0,True,True,1
2,odi3_desaturation_fraction,ahe_proxy_fraction->odi3_desaturation_fraction@lag1;odi3_desaturation_fraction->odi3_desaturation_fraction@lag1,2,95,0.95,True,True,2
3,ifl_proxy_breath_fraction,ifl_proxy_breath_fraction->ifl_proxy_breath_fraction@lag1,1,88,0.88,True,True,3
4,snoring_bout_fraction,snoring_bout_fraction->snoring_bout_fraction@lag1,1,52,0.52,True,True,4
5,pulse_activation_fraction,pulse_activation_fraction->pulse_activation_fraction@lag1,1,49,0.49,True,True,5
6,ahe_proxy_fraction,ahe_proxy_fraction->ahe_proxy_fraction@lag1;odi3_desaturation_fraction->ahe_proxy_fraction@lag1,2,22,0.22,True,True,6
7,pulse_activation_fraction,ahe_proxy_fraction->pulse_activation_fraction@lag1;pulse_activation_fraction->pulse_activation_fraction@lag1,2,21,0.21,True,True,7
8,ahe_proxy_fraction,ahe_proxy_fraction->ahe_proxy_fraction@lag1,1,19,0.19,True,True,8
9,ahe_proxy_fraction,ahe_proxy_fraction->ahe_proxy_fraction@lag1;ifl_proxy_breath_fraction->ahe_proxy_fraction@lag0,2,18,0.18,True,True,9
10,ahe_proxy_fraction,ahe_proxy_fraction->ahe_proxy_fraction@lag1;ifl_proxy_breath_fraction->ahe_proxy_fraction@lag0;snoring_bout_fraction->ahe_proxy_fraction@lag0,3,17,0.17,True,True,10
11,pulse_activation_fraction,odi3_desaturation_fraction->pulse_activation_fraction@lag1;pulse_activation_fraction->pulse_activation_fraction@lag1,2,17,0.17,True,True,11
12,snoring_bout_fraction,ifl_proxy_breath_fraction->snoring_bout_fraction@lag1;snoring_bout_fraction->snoring_bout_fraction@lag1,2,15,0.15,True,True,12
13,pulse_activation_fraction,ahe_proxy_fraction->pulse_activation_fraction@lag1;odi3_desaturation_fraction->pulse_activation_fraction@lag1;pulse_activation_fraction->pulse_activation_fraction@lag1,3,13,0.13,True,True,13
14,snoring_bout_fraction,ahe_proxy_fraction->snoring_bout_fraction@lag0;snoring_bout_fraction->snoring_bout_fraction@lag1,2,10,0.1,True,False,
15,snoring_bout_fraction,ifl_proxy_breath_fraction->snoring_bout_fraction@lag0;snoring_bout_fraction->snoring_bout_fraction@lag1,2,10,0.1,True,True,15
16,snoring_bout_fraction,ahe_proxy_fraction->snoring_bout_fraction@lag0;ifl_proxy_breath_fraction->snoring_bout_fraction@lag1;snoring_bout_fraction->snoring_bout_fraction@lag1,3,9,0.09,False,False,
17,ahe_proxy_fraction,ahe_proxy_fraction->ahe_proxy_fraction@lag1;odi3_desaturation_fraction->ahe_proxy_fraction@lag1;snoring_bout_fraction->ahe_proxy_fraction@lag0,3,8,0.08,False,False,
18,ahe_proxy_fraction,ahe_proxy_fraction->ahe_proxy_fraction@lag1;ifl_proxy_breath_fraction->ahe_proxy_fraction@lag0;odi3_desaturation_fraction->ahe_proxy_fraction@lag1;snoring_bout_fraction->ahe_proxy_fraction@lag0,4,7,0.07,False,False,
19,ahe_proxy_fraction,ahe_proxy_fraction->ahe_proxy_fraction@lag1;snoring_bout_fraction->ahe_proxy_fraction@lag0,2,7,0.07,False,False,
20,ifl_proxy_breath_fraction,ifl_proxy_breath_fraction->ifl_proxy_breath_fraction@lag1;snoring_bout_fraction->ifl_proxy_breath_fraction@lag1,2,6,0.06,False,False,
21,ifl_proxy_breath_fraction,ahe_proxy_fraction->ifl_proxy_breath_fraction@lag0;ifl_proxy_breath_fraction->ifl_proxy_breath_fraction@lag1,2,5,0.05,False,False,
22,odi3_desaturation_fraction,odi3_desaturation_fraction->odi3_desaturation_fraction@lag1,1,5,0.05,False,False,
23,snoring_bout_fraction,ahe_proxy_fraction->snoring_bout_fraction@lag0;ifl_proxy_breath_fraction->snoring_bout_fraction@lag0;snoring_bout_fraction->snoring_bout_fraction@lag1,3,4,0.04,False,False,
24,ahe_proxy_fraction,ahe_proxy_fraction->ahe_proxy_fraction@lag1;ifl_proxy_breath_fraction->ahe_proxy_fraction@lag0;odi3_desaturation_fraction->ahe_proxy_fraction@lag1,3,2,0.02,False,False,
25,ifl_proxy_breath_fraction,ahe_proxy_fraction->ifl_proxy_breath_fraction@lag1;ifl_proxy_breath_fraction->ifl_proxy_breath_fraction@lag1,2,1,0.01,False,False,
