source_node,target_node,lag,graph_entry,p_value,test_statistic,mci_value,abs_mci_value,selected_adjacency,selected,is_contemporaneous,method,posterior,bootstrap_count,mci_bootstrap_count
ifl_proxy_breath_fraction,ahe_proxy_fraction,0,-->,,-0.08026693898407086,-0.08026693898407086,0.08026693898407086,True,True,True,bootstrap_gma_threshold_sweep,0.12,12,30
ahe_proxy_fraction,snoring_bout_fraction,0,-->,,-0.09959279655895575,-0.09959279655895575,0.09959279655895575,True,True,True,bootstrap_gma_threshold_sweep,0.24,24,24
ahe_proxy_fraction,ahe_proxy_fraction,1,-->,,0.5808766305387106,0.5808766305387106,0.5808766305387106,True,True,False,bootstrap_gma_threshold_sweep,0.46,46,100
odi3_desaturation_fraction,ahe_proxy_fraction,1,-->,,0.036952273883807535,0.036952273883807535,0.036952273883807535,True,True,False,bootstrap_gma_threshold_sweep,0.12,12,19
flow_limited_effort_fraction,flow_limited_effort_fraction,1,-->,,0.2670990230053863,0.2670990230053863,0.2670990230053863,True,True,False,bootstrap_gma_threshold_sweep,0.96,96,96
ifl_proxy_breath_fraction,ifl_proxy_breath_fraction,1,-->,,0.4091003873413021,0.4091003873413021,0.4091003873413021,True,True,False,bootstrap_gma_threshold_sweep,0.71,71,100
ahe_proxy_fraction,odi3_desaturation_fraction,1,-->,,-0.06790906363606501,-0.06790906363606501,0.06790906363606501,True,True,False,bootstrap_gma_threshold_sweep,0.97,97,98
odi3_desaturation_fraction,odi3_desaturation_fraction,1,-->,,0.5867622062802438,0.5867622062802438,0.5867622062802438,True,True,False,bootstrap_gma_threshold_sweep,0.97,97,100
odi3_desaturation_fraction,pulse_activation_fraction,1,-->,,0.033666595940472076,0.033666595940472076,0.033666595940472076,True,True,False,bootstrap_gma_threshold_sweep,0.13,13,15
pulse_activation_fraction,pulse_activation_fraction,1,-->,,0.3130039283673931,0.3130039283673931,0.3130039283673931,True,True,False,bootstrap_gma_threshold_sweep,0.69,69,100
snoring_bout_fraction,snoring_bout_fraction,1,-->,,0.4728681120373228,0.4728681120373228,0.4728681120373228,True,True,False,bootstrap_gma_threshold_sweep,0.72,72,100
